=== STDOUT ===
Parseo exitoso
SequentialFile scanAll
id	dni	nombre	edad	genero	altura	
----------------------------------------
1	10000001	Juan	25	M	1.750000	
2	10000002	Ana	30	F	1.620000	
3	10000003	Carlos	28	M	1.800000	
4	10000004	Lucia	22	F	1.600000	
5	10000005	Pedro	35	M	1.780000	
6	10000006	Maria	27	F	1.650000	
7	10000007	Jose	40	M	1.700000	
8	10000008	Sofia	24	F	1.680000	
9	10000009	Diego	31	M	1.820000	
10	10000010	Elena	29	F	1.590000	
11	10000011	Martin	26	M	1.770000	
12	10000012	Camila	21	F	1.630000	
13	10000013	Ricardo	45	M	1.740000	
14	10000014	Valeria	33	F	1.670000	
15	10000015	Andres	38	M	1.810000	
16	10000016	Paula	20	F	1.580000	
17	10000017	Miguel	36	M	1.760000	
18	10000018	Daniela	28	F	1.660000	
19	10000019	Fernando	32	M	1.790000	
20	10000020	Gabriela	27	F	1.640000	
21	10000021	Alonso	23	M	1.730000	
22	10000022	Patricia	41	F	1.610000	
23	10000023	Raul	39	M	1.840000	
24	10000024	Jimena	26	F	1.690000	
25	10000025	Hector	34	M	1.720000	
26	10000026	Natalia	25	F	1.570000	
27	10000027	Tomas	47	M	1.650000	
28	10000028	Claudia	30	F	1.700000	
29	10000029	Bruno	29	M	1.830000	
30	10000030	Silvia	22	F	1.560000	
31	10000031	Jorge	37	M	1.710000	
32	10000032	Renata	24	F	1.620000	
33	10000033	Oscar	43	M	1.780000	
34	10000034	Alejandra	31	F	1.680000	
35	10000035	Victor	28	M	1.750000	
36	10000036	Noelia	23	F	1.600000	
37	10000037	Kevin	33	M	1.800000	
38	10000038	Marina	27	F	1.660000	
39	10000039	Cesar	42	M	1.770000	
40	10000040	Andrea	21	F	1.590000	
41	10000041	Luis	36	M	1.740000	
42	10000042	Fabiana	29	F	1.630000	
43	10000043	Adrian	40	M	1.820000	
44	10000044	Teresa	35	F	1.670000	
45	10000045	Gustavo	26	M	1.790000	
46	10000046	Rosa	32	F	1.580000	
47	10000047	Pablo	27	M	1.760000	
48	10000048	Karen	24	F	1.640000	
49	10000049	Samuel	38	M	1.810000	
Total: 49 registros

Tiempo de ejecución: 1 ms

=== STDERR ===
