=== STDOUT ===
Parseo exitoso
id	dni	nombre	edad	genero	altura	
----------------------------------------
BTree
4	10000003	Victor	33	M	1.600000	
9	10000008	Stefany	46	F	1.600000	
194	10000193	Esteban	37	M	1.600000	
198	10000197	Susana	45	F	1.600000	
262	10000261	Julio	18	M	1.600000	
287	10000286	Carlos	38	M	1.600000	
294	10000293	Fabiana	40	F	1.600000	
299	10000298	Sofia	42	F	1.600000	
303	10000302	Adriana	41	F	1.600000	
310	10000309	Paula	39	F	1.600000	
322	10000321	Pedro	43	M	1.600000	
328	10000327	Carla	22	F	1.600000	
447	10000446	Melany	41	F	1.600000	
476	10000475	Fernando	25	M	1.600000	
482	10000481	Teresa	18	F	1.600000	
489	10000488	Adriana	48	F	1.600000	
508	10000507	Adriana	37	F	1.600000	
533	10000532	Adriana	27	F	1.600000	
603	10000602	Rocio	40	F	1.600000	
617	10000616	Sandra	25	F	1.600000	
646	10000645	Hector	25	M	1.600000	
703	10000702	Pablo	41	M	1.600000	
713	10000712	Paula	48	F	1.600000	
741	10000740	Melissa	47	F	1.600000	
755	10000754	Jorge	22	M	1.600000	
763	10000762	Enrique	31	M	1.600000	
780	10000779	Maria	47	F	1.600000	
831	10000830	Lucia	21	F	1.600000	
888	10000887	Veronica	35	F	1.600000	
933	10000932	Leonardo	43	M	1.600000	
948	10000947	Ricardo	31	M	1.600000	
956	10000955	Mariana	41	F	1.600000	
960	10000959	Adriana	26	F	1.600000	
1028	10001027	Laura	40	F	1.600000	
1114	10001113	Gustavo	29	M	1.600000	
1154	10001153	Rocio	29	F	1.600000	
1168	10001167	Hugo	43	M	1.600000	
1194	10001193	Vanessa	28	F	1.600000	
1245	10001244	Paula	50	F	1.600000	
1255	10001254	Karen	20	F	1.600000	
1301	10001300	Martin	37	M	1.600000	
1373	10001372	Sergio	49	M	1.600000	
1433	10001432	Carlos	28	M	1.600000	
1435	10001434	Gloria	21	F	1.600000	
1498	10001497	Diego	27	M	1.600000	
1534	10001533	Ruben	29	M	1.600000	
1543	10001542	Valeria	47	F	1.600000	
1546	10001545	Kevin	36	M	1.600000	
1576	10001575	Andrea	26	F	1.600000	
1634	10001633	Luisa	42	F	1.600000	
1665	10001664	Stefany	27	F	1.600000	
1675	10001674	Samuel	44	M	1.600000	
1683	10001682	Lidia	42	F	1.600000	
1747	10001746	Natalia	41	F	1.600000	
1759	10001758	Renato	28	M	1.600000	
1856	10001855	Julio	33	M	1.600000	
1916	10001915	Raul	30	M	1.600000	
1931	10001930	Fernando	34	M	1.600000	
1993	10001992	Julia	28	F	1.600000	
2039	10002038	Elena	31	F	1.600000	
2061	10002060	Luis	45	M	1.600000	
2066	10002065	Bianca	36	F	1.600000	
2076	10002075	Diego	50	M	1.600000	
2190	10002189	Kevin	18	M	1.600000	
2204	10002203	Carlos	42	M	1.600000	
2240	10002239	Noelia	40	F	1.600000	
2247	10002246	Axel	37	M	1.600000	
2255	10002254	Arturo	21	M	1.600000	
2282	10002281	Samuel	49	M	1.600000	
2310	10002309	Francisco	24	M	1.600000	
2337	10002336	Fabiana	45	F	1.600000	
2373	10002372	Hugo	31	M	1.600000	
2452	10002451	Javier	46	M	1.600000	
2453	10002452	Melissa	50	F	1.600000	
2465	10002464	Bianca	18	F	1.600000	
2502	10002501	Bruno	20	M	1.600000	
2572	10002571	Nicolas	24	M	1.600000	
2586	10002585	Luis	31	M	1.600000	
2592	10002591	Ernesto	38	M	1.600000	
2705	10002704	Angela	47	F	1.600000	
2727	10002726	Raul	34	M	1.600000	
2728	10002727	Irene	21	F	1.600000	
2831	10002830	Manuel	40	M	1.600000	
2835	10002834	Cesar	43	M	1.600000	
2858	10002857	Mariana	20	F	1.600000	
2859	10002858	Martin	28	M	1.600000	
2862	10002861	Francisco	39	M	1.600000	
2890	10002889	Jorge	19	M	1.600000	
2900	10002899	Irene	39	F	1.600000	
2945	10002944	Ramon	24	M	1.600000	
3081	10003080	Alfredo	49	M	1.600000	
3111	10003110	Rocio	46	F	1.600000	
3144	10003143	Manuel	47	M	1.600000	
3179	10003178	Jorge	19	M	1.600000	
3185	10003184	Rosa	41	F	1.600000	
3209	10003208	Daniel	32	M	1.600000	
3279	10003278	Cesar	45	M	1.600000	
