=== STDOUT ===
Parseo exitoso
SequentialFile
id	dni	nombre	edad	genero	altura	
----------------------------------------
1	10000000	Noelia	24	F	1.640000	
2	10000001	Julio	48	M	1.780000	
3	10000002	Valeria	35	F	1.710000	
4	10000003	Silvia	23	F	1.690000	
5	10000004	Luisa	23	F	1.780000	
6	10000005	Daniela	44	F	1.650000	
7	10000006	Carolina	20	F	1.700000	
8	10000007	Lorena	25	F	1.630000	
9	10000008	Kevin	44	M	1.680000	
10	10000009	Adriana	24	F	1.820000	
11	10000010	Maria	18	F	1.610000	
12	10000011	Pablo	19	M	1.720000	
13	10000012	Roberto	29	M	1.720000	
14	10000013	Luisa	45	F	1.660000	
15	10000014	Esteban	33	M	1.730000	
16	10000015	Fabiana	31	F	1.730000	
17	10000016	Rosa	32	F	1.750000	
18	10000017	Laura	48	F	1.750000	
19	10000018	Andrea	24	F	1.630000	
20	10000019	Jessica	41	F	1.560000	
21	10000020	Alfredo	28	M	1.690000	
22	10000021	Adriana	49	F	1.650000	
23	10000022	Marco	43	M	1.580000	
24	10000023	Esteban	34	M	1.590000	
25	10000024	Esteban	25	M	1.640000	
26	10000025	Angela	21	F	1.730000	
27	10000026	Teresa	45	F	1.560000	
28	10000027	Tomas	47	M	1.650000	
29	10000028	Sandra	41	F	1.720000	
30	10000029	Pablo	46	M	1.570000	
31	10000030	Angela	50	F	1.670000	
32	10000031	Marta	21	F	1.680000	
33	10000032	Noelia	49	F	1.700000	
34	10000033	Esteban	37	M	1.650000	
35	10000034	Manuel	47	M	1.680000	
36	10000035	Manuel	48	M	1.750000	
37	10000036	Ramon	47	M	1.580000	
38	10000037	Gloria	41	F	1.840000	
39	10000038	Marco	47	M	1.840000	
40	10000039	Daniela	43	F	1.610000	
41	10000040	Esteban	22	M	1.610000	
42	10000041	Camila	21	F	1.750000	
43	10000042	Renato	20	M	1.760000	
44	10000043	Diana	27	F	1.610000	
45	10000044	Ernesto	28	M	1.600000	
46	10000045	Oscar	41	M	1.700000	
47	10000046	Sofia	49	F	1.780000	
48	10000047	Nicolas	28	M	1.600000	
49	10000027	Tomas	47	M	1.650000	
50	10000027	Timlon	47	M	1.650000	
Total: 50 registros

Tiempo de ejecuciÃ³n: 2 ms

=== STDERR ===
